,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,kitchen_area,cityCenters_nearest,days_exposition
6831,6700000,43.0,2,2.7,21,30.0,9,5.0,4358.0,270
6832,3590000,45.71,2,2.5,9,26.79,7,6.31,15176.0,143
6833,12000000,104.0,3,2.7,16,54.0,3,17.4,13852.0,29
6834,4700000,47.0,2,2.5,9,28.2,8,7.0,17073.0,49
6836,3650000,42.1,2,2.7,5,26.1,2,6.8,8250.0,77
6837,4100000,44.0,2,2.55,9,27.0,9,7.0,12226.0,457
6839,4390000,41.08,1,2.75,8,17.0,8,12.0,16707.0,450
6840,4950000,88.4,3,2.5,12,47.3,5,7.1,14525.0,23
6841,6500000,60.0,2,2.7,5,36.3,3,8.5,8182.0,121
6842,4650000,40.0,1,2.5,16,30.0,10,10.0,13412.0,95
6843,3800000,37.0,2,2.7,16,11.0,4,17.0,13330.0,160
6844,5150000,50.0,2,2.7,12,31.0,3,8.0,11312.0,15
6845,4660000,36.9,1,2.5,16,18.6,10,9.3,16030.0,95
6846,4670000,49.2,2,2.7,12,30.9,6,7.0,11753.0,8
6847,3300000,33.0,1,2.7,14,18.0,3,8.0,12966.0,602
6848,3850000,47.4,2,2.7,16,27.1,1,7.0,16558.0,41
6850,33500000,189.0,5,3.0,14,78.0,7,19.0,6996.0,95
6854,8755014,86.6,3,2.7,11,48.6,7,11.8,5299.0,387
6857,7300000,55.0,2,2.8,16,21.0,3,21.0,15899.0,95
6858,6000000,65.0,3,2.58,9,45.0,7,10.0,13679.0,95
6860,10000000,66.0,2,2.7,21,39.0,11,9.0,8248.0,20
6861,13990000,100.0,3,2.7,16,60.0,13,40.0,12886.0,95
6863,4400000,39.5,1,2.8,16,16.0,9,12.5,9496.0,160
6866,8400000,60.0,3,2.7,7,39.0,6,7.0,5074.0,222
6867,3440000,38.0,1,2.65,16,18.0,13,8.0,13526.0,13
6871,6100000,58.0,2,3.1,4,30.759740004813164,3,27.240259995186836,20802.0,126
6874,3920000,39.6,1,2.65,18,16.7,14,9.9,11827.0,801
6877,2990000,32.0,1,2.5,9,18.0,4,7.0,15606.0,79
6878,8900000,60.0,2,3.1,5,45.0,3,8.0,2282.0,79
6879,18700000,116.0,2,2.7,5,61.51948000962633,4,42.5,14486.0,95
6881,8900000,108.0,4,3.14,5,67.5,3,11.8,4336.0,95
6883,3550000,44.8,2,2.7,5,31.47,5,6.0,14607.0,82
6884,5100000,69.0,3,2.5,9,48.5,9,6.3,16526.0,188
6885,4500000,38.0,1,2.7,16,20.0,6,10.0,12371.0,95
6886,5600000,50.0,2,2.5,12,33.0,2,7.0,15798.0,44
6887,4700000,38.2,1,2.7,9,19.0,8,11.0,15858.0,8
6889,9500000,65.0,2,3.11,4,37.0,1,8.0,5037.0,95
6890,5500000,55.0,2,2.7,17,35.0,12,10.0,13073.0,56
6891,10500000,69.0,2,2.68,9,33.0,4,15.0,6072.0,910
6893,5100000,63.0,3,2.5,9,38.0,1,9.0,11555.0,14
6894,3700000,30.0,1,2.6,9,15.910210347317154,3,14.089789652682846,12353.0,26
6896,7000000,71.0,3,2.7,10,37.6541644886506,9,33.3458355113494,13165.0,100
6897,3900000,43.0,1,2.7,25,16.0,11,11.5,16316.0,18
6898,2750000,31.09,1,2.6,9,15.66,7,7.0,12525.0,40
6901,15500000,107.0,3,4.2,6,60.0,3,25.0,4291.0,289
6902,3700000,47.0,2,2.7,9,27.0,7,7.0,19131.0,56
6905,6800000,55.0,2,2.7,5,34.2,5,8.3,8109.0,95
6906,6900000,80.0,3,2.7,10,48.9,9,10.0,16209.0,134
6907,5750000,42.8,1,2.7,10,17.0,7,10.9,11637.0,157
6909,6000000,40.0,1,2.7,16,19.5,3,10.0,11132.0,3
6910,5310000,66.3,3,2.7,9,42.5,5,9.6,13031.0,724
6911,3500000,31.0,1,2.6,5,18.0,4,6.0,8137.0,311
6912,12100000,83.0,2,2.7,13,44.01824862757746,6,11.5,8370.0,28
6913,5599000,52.5,2,2.7,18,32.2,14,8.7,12598.0,24
6914,4700000,54.0,2,2.7,17,35.0,8,9.0,16178.0,113
6919,13450000,77.0,3,2.7,17,44.05,6,12.2,8376.0,7
6920,16450000,138.0,4,3.28,6,81.4,5,17.0,5448.0,95
6922,29999000,133.5,3,3.0,15,71.7,12,19.8,8733.0,95
6923,3300000,32.0,1,2.5,12,17.4,5,7.0,14604.0,17
6924,5600000,47.5,1,2.6,17,21.0,4,10.7,17749.0,354
6929,16177174,122.7,3,3.0,19,45.9,4,10.2,4341.0,1175
6931,5500000,55.2,2,2.7,10,26.1,6,7.8,11212.0,43
6933,4150000,66.0,3,2.5,9,49.0,2,6.4,16666.0,168
6934,9000000,95.0,3,2.7,3,50.38233276650432,1,44.61766723349568,671.0,85
6935,4000000,30.0,1,2.7,10,15.0,4,7.0,11714.0,49
6936,3620000,38.0,1,2.7,19,18.7,3,10.0,15564.0,57
6937,5100000,74.7,4,2.7,9,52.5,9,6.2,10996.0,239
6938,5645078,93.6,3,2.7,23,47.3,11,16.8,17306.0,328
6939,3500000,30.5,1,2.7,5,16.0,4,6.0,15522.0,10
6940,5424570,46.0,1,2.7,13,19.9,3,11.1,8370.0,521
6941,5150000,42.0,1,2.8,25,19.5,7,12.6,16921.0,65
6943,3650000,45.0,2,2.5,5,29.0,2,5.5,11618.0,145
6944,14400000,100.7,1,2.7,5,16.4,1,43.4,14931.0,95
6945,3400000,43.7,2,2.5,9,26.8,1,6.3,14789.0,304
6949,3570000,37.0,1,2.6,6,16.0,6,8.5,11551.0,270
6952,4300000,55.0,3,2.5,5,37.5,4,7.0,13502.0,45
6954,6600000,38.8,1,2.7,12,21.0,9,9.0,12870.0,95
6956,4750000,44.1,2,2.59,9,26.7,8,7.0,6901.0,92
6957,3200000,34.4,1,3.2,5,15.2,1,19.2,10554.0,172
6960,9200000,75.7,3,3.0,5,59.0,5,9.7,10110.0,624
6961,3400000,38.7,1,2.7,12,20.1,5,10.3,14402.0,551
6962,3990000,36.0,1,2.7,16,21.0,3,8.0,9234.0,134
6963,5800000,65.0,3,2.7,9,44.0,8,7.4,12945.0,136
6965,4540000,45.5,2,2.51,5,31.0,2,6.0,9467.0,12
6966,6300000,74.0,4,2.6,9,54.6,7,7.0,13554.0,60
6967,4350000,56.0,3,2.7,5,41.1,4,5.0,8778.0,273
6968,5950000,80.0,3,2.8,25,43.0,18,13.4,15142.0,121
6970,12990000,94.0,3,2.75,15,57.0,7,13.0,13114.0,95
6972,4100000,39.7,1,2.55,18,20.0,14,6.7,13188.0,115
6973,4900000,73.0,2,2.7,5,51.0,1,8.0,3167.0,51
6974,4550000,42.3,1,2.56,10,17.2,1,13.8,14683.0,118
6975,4650000,45.6,2,2.5,9,26.6,2,6.2,18613.0,68
6976,4300000,59.0,3,2.5,5,43.8,1,7.3,13358.0,238
6977,5700000,52.6,2,2.5,16,28.8,4,7.4,15718.0,340
6978,4800000,59.6,3,2.5,9,42.7,6,6.3,14117.0,128
6979,11000000,85.1,4,3.0,5,63.7,4,9.2,5251.0,73
6980,14000000,173.0,5,3.4,6,123.0,4,23.0,5142.0,1226
6981,13299000,73.3,2,2.75,25,33.6,13,16.2,13056.0,43
6982,4000000,45.0,2,2.7,5,30.0,4,7.2,14877.0,140
6983,12490000,97.0,3,2.8,16,51.44301345632547,8,45.55698654367453,10382.0,339
6984,9283468,66.5,2,2.7,13,34.2,4,15.2,8370.0,280
6985,6100000,60.0,2,2.8,15,30.0,12,10.0,9436.0,46
6986,9400000,72.0,2,2.8,18,31.0,9,12.0,8248.0,78
6990,4200000,45.0,2,2.7,9,29.0,9,8.0,15039.0,64
6991,24821600,81.7,2,2.7,7,43.32880617919372,3,38.37119382080628,6042.0,90
6992,10300000,68.6,2,2.7,14,34.5,9,15.0,12114.0,46
6998,8450000,82.0,2,2.8,6,43.0,2,17.0,17793.0,80
6999,3800000,34.7,1,2.7,9,17.6,4,8.6,13062.0,45
7000,3800000,35.0,1,2.55,17,17.0,10,9.0,13977.0,699
7001,4900000,40.0,1,2.7,22,17.0,4,10.0,14772.0,142
7002,4500000,48.0,1,2.7,9,20.0,9,13.0,14027.0,245
7003,3200000,28.0,0,2.7,23,19.0,3,9.0,17399.0,95
7004,3900000,45.6,2,2.7,5,31.4,5,6.8,15945.0,95
7005,3800000,35.0,1,2.5,6,17.5,1,6.5,8850.0,61
7006,5910000,60.0,3,2.7,9,41.2,6,6.0,12727.0,30
7007,3500000,44.5,2,2.6,5,23.7,5,6.0,9961.0,142
7008,5200000,32.3,0,2.7,11,25.5,4,6.799999999999997,6469.0,86
7009,4030000,44.8,2,2.6,5,30.0,3,7.3,12993.0,311
7010,6800000,75.0,3,3.15,5,49.0,3,10.0,6209.0,95
7011,11000000,144.0,4,3.1,6,88.0,2,22.0,4117.0,512
7012,3690000,48.2,4,2.55,6,36.8,4,5.4,9397.0,62
7013,9100000,72.4,2,2.7,22,37.3,2,11.6,13495.0,201
7014,4400000,58.0,3,2.7,7,43.0,7,6.0,9234.0,66
7015,5990000,54.0,2,2.7,5,34.0,3,10.0,10763.0,110
7016,6499000,54.5,2,2.76,24,27.7,19,9.4,12884.0,6
7017,6500000,71.4,2,3.0,16,38.1,3,12.7,14951.0,160
7018,14535000,84.3,3,2.7,12,44.7076910759612,5,15.6,5803.0,95
7019,4250000,44.0,2,2.6,7,26.2,6,6.0,11393.0,5
7020,6900000,44.85,1,2.7,9,23.785764469239147,2,9.7,5384.0,1344
7021,5400000,38.5,1,3.05,9,20.8,4,8.6,11550.0,50
7022,4450000,49.4,3,2.5,5,22.0,2,15.8,9661.0,95
7023,22500000,150.3,3,2.7,12,109.0,10,28.0,6473.0,134
7024,3140000,32.0,1,2.7,5,18.0,3,7.0,14536.0,77
7026,6100000,36.3,1,3.0,24,18.9,14,8.4,12416.0,202
7027,21453004,156.4,4,2.7,13,82.94522994401343,13,73.45477005598657,4870.0,1214
7028,3750000,45.0,2,2.7,5,30.0,5,7.0,13903.0,143
7030,4500000,50.0,1,2.7,8,20.0,6,15.0,13915.0,61
7032,2500000,30.11,1,2.6,5,15.88,5,6.6,15075.0,21
7034,4900000,73.0,2,2.8,5,49.6,4,8.2,12854.0,88
7035,9900000,84.0,3,2.9,5,63.0,3,10.0,4782.0,490
7037,3850000,38.0,1,2.5,9,18.0,3,9.0,15735.0,437
7038,8450000,113.0,4,2.7,7,84.0,6,9.0,8136.0,812
7039,9300000,65.3,3,3.0,5,41.2,1,8.0,8069.0,384
7040,3041000,37.7,1,2.7,20,19.99383100312856,10,17.706168996871444,10955.0,46
7041,9700000,156.0,4,3.3,7,79.0,5,13.3,3113.0,884
7044,3900000,34.0,1,2.7,10,18.03157172695944,3,15.968428273040558,12970.0,43
7045,18500000,153.3,5,3.3,5,85.1,4,12.9,3847.0,110
7047,2800000,21.0,1,2.7,5,14.9,3,3.8,3974.0,108
7049,32260000,111.9,3,2.7,8,54.13,4,17.2,7442.0,208
7050,7600000,72.0,2,2.7,23,38.0,15,11.0,14640.0,124
7051,11350000,127.7,3,2.75,16,83.6,14,11.4,12551.0,274
7052,2650000,23.3,1,2.7,12,20.0,10,3.3000000000000007,19383.0,355
7053,6500000,57.4,2,2.7,5,31.6,5,8.5,4766.0,21
7055,3380000,38.0,1,2.7,12,20.0,8,10.0,14413.0,174
7057,5200000,55.5,2,3.0,5,34.5,5,8.3,9053.0,32
7060,9600000,74.7,3,2.75,19,41.9,17,13.0,14769.0,232
7062,14000000,98.0,3,2.5,6,68.0,2,14.0,7701.0,14
7063,8200000,86.4,3,3.01,9,48.2,2,11.9,13174.0,71
7064,4800000,45.0,2,2.7,9,25.0,3,7.0,17566.0,303
7065,12000000,63.0,1,2.7,4,33.411441729366025,1,29.588558270633975,5269.0,90
7067,11150000,74.5,4,3.1,5,42.6,2,9.4,4132.0,95
7068,4400000,41.0,1,2.6,16,19.0,3,10.0,12256.0,87
7070,4170000,44.0,2,2.7,9,33.0,6,6.0,8955.0,388
7071,7100000,72.0,3,2.7,12,48.0,2,8.0,11324.0,7
7072,6490000,50.0,2,3.0,6,33.0,5,8.0,4805.0,325
7074,3100000,31.0,1,2.5,5,16.440550692227728,5,14.559449307772272,12472.0,158
7076,3900000,35.2,1,2.7,11,18.6,3,8.6,14115.0,547
7079,4480000,41.3,3,2.7,5,31.1,3,5.3,11206.0,325
7080,6700000,64.0,2,2.82,5,40.0,3,6.0,4801.0,138
7081,13999000,125.0,3,2.75,25,73.1,20,12.0,9289.0,442
7082,4800000,45.0,1,2.7,25,17.0,16,13.9,15501.0,318
7083,4000000,39.8,1,2.5,14,21.11,14,8.0,8929.0,24
7087,6990000,57.0,2,2.7,16,31.599998,8,9.8,10475.0,85
7089,5300000,42.0,1,3.0,16,17.0,15,10.0,12163.0,168
7090,3600000,41.0,1,2.7,10,19.0,9,11.0,15096.0,61
7094,7900000,83.45,3,2.7,25,46.9,25,12.9,14562.0,153
7096,7900000,77.0,2,2.7,3,45.0,3,15.0,21231.0,60
7097,3800000,38.7,1,2.7,16,20.1,7,10.2,14137.0,75
7098,8100000,73.0,2,3.4,6,45.0,3,14.0,4301.0,1223
7099,8299000,94.0,4,3.0,5,57.0,4,10.0,3723.0,121
7101,4010000,32.59,1,2.75,19,14.0,13,9.4,8111.0,19
7102,5550000,69.3,2,2.7,19,40.0,19,12.0,16704.0,18
7104,3750000,44.0,2,2.53,5,29.7,4,7.1,14589.0,121
7105,3500000,53.0,2,2.7,3,31.0,2,8.0,23243.0,75
7106,10900000,78.0,2,2.75,14,37.0,13,16.0,7400.0,53
7107,3700000,40.2,1,2.53,10,18.5,3,10.7,15096.0,8
7108,4250000,44.5,2,2.5,5,30.0,3,7.5,14941.0,20
7109,4700000,59.0,2,2.7,17,33.0,7,12.0,15775.0,44
7110,2241000,36.7,1,2.7,10,17.8,1,8.2,22518.0,74
7112,5500000,45.2,2,2.5,9,30.0,3,7.6,17647.0,40
7113,4725000,40.4,1,2.7,15,18.8,6,11.2,13347.0,74
7116,10660000,66.1,2,2.82,7,26.3,2,24.3,16722.0,95
7117,3400000,37.0,1,2.6,12,21.0,1,12.0,11725.0,72
7118,3500000,30.0,1,2.5,5,15.0,2,7.2,12105.0,45
7119,3190000,30.4,1,2.54,9,15.1,9,8.1,11167.0,28
7120,3980000,36.9,1,2.7,14,21.1,9,7.6,13385.0,14
7122,4700000,50.9,2,2.5,9,32.2,5,6.5,13719.0,121
7124,6199424,69.19,2,2.7,24,36.69424846436246,8,32.49575153563754,13255.0,244
7125,17000000,177.8,5,3.2,6,116.2,5,19.1,1211.0,439
7126,9635000,84.37,3,2.7,21,49.46,11,12.44,11007.0,58
7127,3300000,40.0,1,2.7,16,18.0,11,10.0,14265.0,45
7129,7200000,75.9,2,3.67,5,39.8,2,12.4,1509.0,160
7130,4980000,52.0,2,2.7,10,33.0,4,9.0,11567.0,235
7131,46000000,196.0,2,3.2,10,103.94670760247207,2,92.05329239752793,6589.0,988
7132,3800000,44.5,1,2.9,5,24.8,1,9.7,10704.0,27
7133,4800000,46.6,2,2.6,14,27.5,10,7.6,12539.0,115
7136,48000000,108.0,3,2.7,5,61.0,2,13.5,3180.0,144
7137,4290000,47.0,1,2.6,10,18.0,9,15.0,15749.0,350
7138,10000000,80.4,3,2.7,18,48.38,4,12.7,16167.0,95
7139,5200000,50.0,2,2.7,12,31.0,9,8.0,11231.0,126
7140,2999000,31.0,1,2.6,5,16.0,1,6.0,16176.0,68
7141,5100000,65.0,3,2.55,15,43.0,1,10.0,14619.0,20
7142,9700000,72.0,3,2.6,9,44.7,3,9.4,15936.0,18
7143,5900000,55.2,2,2.7,12,32.5,10,10.3,12582.0,21
7145,5150000,50.0,2,3.0,4,42.0,4,5.0,4353.0,143
7146,3670000,42.0,3,2.7,5,31.3,1,5.5,10977.0,305
7148,5900000,65.3,3,2.55,9,42.7,8,10.0,12932.0,95
7149,12000000,92.0,3,2.8,19,51.0,6,16.9,13868.0,241
7154,4600000,55.0,2,2.5,9,31.1,9,6.2,18124.0,20
7156,3700000,44.5,2,2.7,5,29.0,1,6.0,5982.0,70
7157,3150000,32.0,1,2.55,5,18.0,2,6.0,10759.0,46
7158,2950000,31.1,1,2.5,5,17.2,1,5.5,14916.0,228
7161,3800000,35.0,1,2.7,5,15.0,2,10.0,11212.0,8
7162,9480400,69.2,2,2.7,14,36.0,1,10.9,6017.0,34
7163,4600000,40.0,1,2.7,16,20.0,5,10.0,14617.0,16
7166,8000000,40.3,1,2.75,19,15.3,11,12.4,4600.0,119
7167,3300000,31.5,1,2.7,5,22.0,4,9.5,10073.0,136
7168,4600000,54.0,3,2.5,5,38.0,5,5.2,12045.0,83
7169,6930000,64.6,2,2.7,16,25.2,14,15.5,9014.0,28
7170,4050000,39.9,1,2.7,18,20.0,11,10.7,13286.0,374
7171,6500000,70.0,3,2.65,12,44.5,11,8.0,11660.0,154
7172,4800000,42.6,1,2.8,25,22.1,7,12.0,13749.0,11
7173,4500000,48.0,1,2.7,14,17.0,3,15.0,11082.0,54
7174,3600000,35.95,1,2.7,25,16.88,13,8.8,12012.0,301
7175,4180000,45.5,2,2.5,9,26.8,4,6.2,14453.0,22
7176,3350000,32.0,1,2.5,17,16.4,7,9.0,16582.0,357
7178,16500000,118.5,5,3.2,6,78.0,3,14.0,5733.0,174
7179,6850000,66.0,3,2.7,12,42.0,12,11.0,11982.0,151
7180,11703236,112.2,4,2.7,11,72.1,6,12.0,5332.0,439
7181,3600000,32.6,1,2.6,9,17.289095244084642,2,15.31090475591536,14983.0,45
7184,5900000,60.1,1,2.7,16,25.5,13,15.5,15091.0,183
7186,25000000,109.0,3,3.5,6,80.0,6,20.0,5472.0,317
7189,2550000,30.1,1,2.7,5,14.7,5,6.0,21618.0,97
7190,5700000,44.0,2,2.7,5,29.0,2,5.0,4882.0,95
7191,9500000,85.0,3,2.85,5,58.0,5,10.0,2485.0,95
7192,7680000,60.0,3,2.7,9,42.5,8,5.0,11741.0,95
7193,8470000,77.0,3,2.75,4,59.0,4,11.0,4756.0,20
7194,5400000,52.0,2,2.7,12,30.0,2,8.0,16379.0,193
7196,3750000,42.0,3,2.7,5,30.0,3,5.2,12721.0,244
7197,6999000,59.0,2,2.7,16,31.0,16,11.0,17734.0,461
7198,3450000,35.1,1,2.5,12,16.8,11,7.0,12258.0,45
7200,9000000,91.5,4,3.25,5,69.0,5,10.0,3834.0,204
7201,6850000,61.0,2,2.5,14,35.0,11,8.0,13000.0,14
7202,13499000,115.3,4,2.85,6,76.4,5,19.8,2767.0,324
7203,4400000,56.0,3,2.7,5,41.0,4,5.0,13317.0,90
7204,8900000,110.0,4,2.7,7,73.0,2,15.0,3903.0,40
7206,5289476,46.9,1,3.15,4,16.47,2,14.46,20802.0,278
7209,9900000,139.0,4,3.2,4,98.0,2,14.0,4967.0,196
7212,3500000,35.5,1,2.53,12,17.1,3,7.0,12658.0,7
7213,6800000,42.7,1,2.7,10,19.3,2,11.3,4281.0,95
7216,3700000,44.1,2,2.7,5,30.1,5,14.0,13360.0,5
7217,6300000,59.0,2,2.7,6,33.0,4,10.0,14727.0,432
7219,10990000,68.0,2,2.6,20,40.0,15,12.0,16167.0,146
7222,8385000,41.9,1,2.7,12,22.221260451752958,3,9.9,5803.0,82
7224,5200000,53.0,2,2.55,14,36.0,12,8.0,14217.0,60
7225,6772762,56.4,1,2.7,11,20.4,8,15.3,5299.0,318
7226,2700000,31.0,1,2.5,5,17.3,4,6.0,10972.0,6
7227,3886000,40.19,1,2.75,23,17.8,23,11.0,12154.0,6
7228,10000000,76.4,3,2.7,7,52.0,6,8.6,4033.0,95
7229,17800000,110.0,3,2.8,15,46.0,10,29.0,7737.0,370
7230,10400000,89.3,3,2.8,25,54.9,12,13.5,16921.0,562
7232,9200000,58.0,2,2.7,10,31.0,6,10.7,5223.0,943
7234,7499000,62.0,3,2.55,9,40.5,2,9.6,16838.0,95
7235,4600000,44.0,1,2.76,25,18.1,2,12.9,14769.0,294
7236,4599000,42.0,1,2.7,35,15.0,12,11.0,20444.0,72
7239,9990000,90.0,3,3.1,6,46.6,6,43.4,13171.0,630
7240,12700000,100.9,3,2.73,17,58.3,13,14.2,10466.0,105
7241,6110000,62.5,2,2.7,13,32.0,3,10.9,8460.0,60
7242,4700000,46.0,2,2.7,9,29.0,7,7.5,12539.0,30
7243,6500000,114.0,3,2.65,5,93.6,5,9.5,16432.0,95
7244,3000000,30.1,1,2.5,9,20.4,4,5.7,12415.0,10
7245,5050000,47.5,2,2.6,9,31.0,1,6.2,9953.0,914
7246,4450000,38.0,1,2.7,24,17.6,16,11.0,14445.0,84
7247,3100000,34.3,1,2.7,4,18.3,4,6.1,9897.0,26
7248,5100000,65.0,3,2.7,9,42.0,5,10.0,13789.0,63
7249,6485000,61.62,2,2.7,23,32.679572053389435,18,12.47,16788.0,60
7250,7501000,80.3,2,2.7,26,28.3,13,24.4,9888.0,104
7252,4670000,36.0,1,2.65,12,18.5,5,8.0,7976.0,216
7253,67000000,156.9,3,2.7,8,103.1,8,15.1,6065.0,95
7256,3500000,29.2,0,2.64,16,16.7,3,12.5,12516.0,28
7257,12000000,99.0,3,2.6,15,63.5,13,12.0,9860.0,90
7258,9300000,75.0,2,2.75,16,25.5,6,24.5,7055.0,118
7259,10130000,93.7,3,2.62,10,54.3,10,13.9,14932.0,29
7260,9100000,92.0,4,2.5,10,56.0,10,18.0,14348.0,29
7261,9300000,94.0,3,2.77,25,58.0,22,12.0,13513.0,95
7262,5437000,45.0,1,2.75,22,19.0,17,9.0,13145.0,348
7263,4500000,39.1,1,2.65,10,20.0,7,10.7,11732.0,13
7265,8700000,86.0,3,2.6,19,48.2,7,12.0,14935.0,102
7266,6650000,70.2,3,2.65,12,41.7,9,11.5,14772.0,93
7268,3500000,36.23,1,2.7,19,10.08,10,16.3,15157.0,17
7269,4200000,44.8,2,2.7,5,27.5,3,7.2,18316.0,16
7271,4750000,58.3,3,2.7,9,37.3,9,7.0,15496.0,115
7274,43000000,280.0,5,4.4,5,148.4952965749601,4,131.5047034250399,5559.0,1065
7276,3000000,34.0,1,2.7,23,20.5,11,13.5,16788.0,113
7277,9700000,88.5,3,2.7,5,59.5,3,10.5,3541.0,112
7279,18000000,127.0,3,4.2,3,83.8,1,11.4,4785.0,970
7280,4300000,46.5,2,3.0,5,28.3,5,8.0,6553.0,71
7281,11500000,97.0,5,2.9,4,75.0,1,14.0,2784.0,52
7282,3300000,33.0,1,2.7,9,18.0,8,6.5,10649.0,10
7283,11700000,106.0,3,2.8,25,58.0,17,14.7,15950.0,32
7285,9476000,71.4,3,3.0,5,50.7,2,7.95,5271.0,95
7287,13744000,95.8,3,2.7,13,51.88,5,16.32,4870.0,1277
7288,4200000,40.0,1,2.7,25,18.0,10,8.0,11618.0,546
7289,19800000,158.0,5,3.0,16,102.5,4,14.0,15091.0,95
7291,7020000,66.2,2,2.75,24,35.8,15,12.1,14813.0,204
7292,11200000,123.0,4,2.7,6,65.23186242400033,3,57.768137575999674,4624.0,197
7296,9990000,85.4,2,2.7,12,39.62,6,15.26,10660.0,166
7298,9890000,50.0,1,3.0,10,22.04,7,12.23,6010.0,95
7301,9599000,95.0,4,2.65,12,63.3,2,15.0,12415.0,21
7302,7500000,75.0,3,2.75,12,41.0,6,12.0,14281.0,65
7303,6000000,63.7,2,2.7,10,34.1,1,11.4,16280.0,846
7306,4800000,61.7,3,2.7,9,41.5,9,8.3,11548.0,210
7307,7650000,63.1,2,3.0,4,35.1,1,8.7,8537.0,95
7308,6980000,73.9,3,3.28,4,52.7,3,6.8,3316.0,95
7311,7875000,68.9,3,2.5,12,41.5,7,7.4,9913.0,77
7312,3400000,27.0,2,2.5,15,9.0,4,16.0,16444.0,95
7315,7250000,54.0,2,2.5,12,32.0,6,10.1,14208.0,11
7316,7100000,74.5,3,3.0,4,49.0,3,8.0,8679.0,119
7318,5300000,67.7,3,2.7,9,48.36,4,6.25,10332.0,82
7319,6200000,43.4,1,3.07,17,22.4,2,13.0,11391.0,74
7322,5370000,54.34,2,2.7,23,29.2,13,9.2,10820.0,19
7325,6607000,64.0,2,2.75,25,32.0,16,12.0,11184.0,84
7326,6490000,45.8,2,3.0,5,28.5,4,6.7,7364.0,41
7327,6000000,78.0,3,2.6,10,50.0,1,11.0,17656.0,951
7328,3990000,44.0,2,2.7,12,28.6,12,6.5,10568.0,65
7329,2953000,30.0,1,2.7,12,17.0,12,6.3,15968.0,109
7331,14500000,85.0,2,3.1,20,23.3,7,39.0,10263.0,90
7332,7600000,112.0,4,2.7,15,87.0,4,12.0,14886.0,101
7333,3650000,30.0,1,2.5,12,15.910210347317154,12,14.089789652682846,9869.0,39
7336,25990000,138.1,4,2.85,6,102.8,2,21.7,3470.0,189
7337,6800000,55.8,2,2.8,5,29.3,5,11.4,3748.0,95
7338,5220000,70.9,3,2.7,19,37.601130454159545,9,33.29886954584046,21245.0,59
7340,5160000,69.0,3,2.5,9,42.2,2,7.7,15812.0,654
7342,3330000,31.0,1,2.7,9,15.4,8,8.0,15023.0,95
7344,3950000,47.0,2,2.7,9,29.0,4,6.5,17135.0,69
7346,6450000,50.5,2,3.04,5,30.3,1,6.3,5472.0,6
7347,5100000,38.3,1,2.78,12,19.1,10,8.3,15255.0,95
7349,3600000,41.0,3,2.7,5,30.6,3,5.5,12384.0,87
7350,15000000,84.4,2,2.7,5,47.0,2,37.400000000000006,4308.0,447
7354,5600000,66.0,3,2.5,9,43.0,1,9.7,9815.0,95
7355,6900000,25.0,1,2.52,5,13.258508622764294,5,11.741491377235706,9514.0,8
7356,4450000,43.0,2,2.7,5,25.0,4,8.4,3318.0,32
7357,5150000,62.0,3,2.6,9,40.0,7,10.0,11034.0,616
7360,11490000,93.17,3,2.75,25,48.5,17,18.5,13370.0,37
7361,6590000,58.0,2,2.7,25,33.0,10,10.0,10337.0,123
7362,4300000,41.76,1,2.65,20,13.92,6,11.37,15985.0,44
7363,4996750,39.5,1,2.7,25,20.0,11,10.4,14396.0,40
7364,3800000,46.0,2,2.7,5,29.6,2,6.0,12955.0,19
7365,12850000,126.0,3,2.79,17,65.0,2,16.4,11838.0,737
7366,10430000,73.9,3,3.2,6,45.4,2,10.4,4017.0,360
7368,4400000,45.2,2,2.5,5,27.3,4,6.0,14968.0,392
7369,6630000,61.0,2,2.85,19,31.1,10,10.5,14635.0,17
7370,11000000,99.0,4,3.0,5,60.4,5,13.6,3062.0,110
7372,3900000,46.1,2,2.7,5,30.2,1,5.5,14943.0,116
7373,11800000,95.6,3,2.7,18,52.7,6,15.0,18721.0,83
7374,4550000,38.1,1,3.3,16,17.6,16,11.0,16689.0,63
7378,14500000,72.0,2,2.7,12,24.8,4,27.9,6473.0,128
7379,6400000,42.0,2,3.3,5,24.0,2,7.0,2648.0,61
7380,8650000,57.8,2,2.75,5,34.1,5,8.0,5598.0,95
7381,4690000,49.9,2,2.5,9,30.4,5,9.3,11357.0,16
7384,2995000,32.6,1,2.55,9,17.9,6,6.3,16877.0,124
7387,7600000,68.0,2,2.8,4,39.1,4,13.0,12223.0,92
7388,5230000,48.13,1,2.7,25,27.0,9,8.58,16002.0,230
7389,16000000,168.6,6,2.7,5,117.0,5,23.0,4096.0,412
7390,5200000,80.0,4,2.5,5,52.0,2,7.0,9359.0,377
7391,11968000,96.38,2,2.7,12,44.99,12,19.51,13615.0,298
7393,8290000,113.2,4,2.7,6,70.4,4,10.4,2342.0,225
7394,4800000,42.0,2,2.6,9,25.6,6,8.8,13339.0,62
7395,9100000,110.4,2,3.26,4,47.0,3,30.0,1796.0,111
7396,7200000,59.0,2,2.53,14,29.5,1,12.6,11150.0,352
7397,4250000,57.0,3,2.7,5,42.2,5,5.7,12562.0,45
